,강의명,등록일,결제수,가격,링크
886,"서버 없이 쓰는 서버, 구글 Cloud Functions",2020년 07월 01일,22,"<h4>55,000원</h4>",https://www.inflearn.com/course/구글-클라우드-서버리스-서버
887,Azure 가상컴퓨터 - 초급,2020년 04월 06일,22,"<h4>9,900원</h4>",https://www.inflearn.com/course/azure-가상컴퓨터-초급
888,트러플로 dApp 개발 : 실리콘밸리 개발자와 함께,2019년 01월 15일,22,"<h4>29,700원</h4>",https://www.inflearn.com/course/truffle-dapp
889,"편리하고 안전한 클라우드, OneDrive 활용법",2019년 11월 05일,20,"<h4>11,000원</h4>",https://www.inflearn.com/course/OneDrive-클라우드-활용강좌
890,탈중앙화 eBay 개발!: 실리콘밸리 개발자와 함께,2019년 01월 16일,18,"<h4>월 22,000원</h4>",https://www.inflearn.com/course/ethereum-ipfs
891,ESXi 가상 인프라 구축과 보안 솔루션을 활용한 이상징후 탐지 모니터링,2021년 03월 05일,14,"<h4>월 29,700원</h4>",https://www.inflearn.com/course/it-보안-인프라-모니터링
892,Microsoft Hyper-V 가상화,2020년 10월 14일,11,"<h4>11,000원</h4>",https://www.inflearn.com/course/서버-데스크탑-가상화
893,모바일 게임 해킹(Unity편),2021년 01월 05일,10,"<h4>33,000원</h4>",https://www.inflearn.com/course/모바일-게임-해킹-유니티
894,[ISMS-P] ISMSP WIN 크라운 모의고사 과정,2020년 10월 22일,6,"<h4>월 33,000원</h4>",https://www.inflearn.com/course/isms-p-모의고사
895,Microsoft 지능형 공격 대응 방안 - 고급 메일 보안 ATP의 이해와 정책 설정,2020년 07월 21일,2,"<h4>33,000원</h4>",https://www.inflearn.com/course/비즈니스-이메일-보안-atp
896,모두를 위한 딥러닝 - 기본적인 머신러닝과 딥러닝 강좌,2016년 03월 24일,21229,0,https://www.inflearn.com/course/기본적인-머신러닝-딥러닝-강좌
897,"ELK 스택 (ElasticSearch, Logstash, Kibana) 으로 데이터 분석",2016년 12월 23일,8594,0,https://www.inflearn.com/course/elk-스택-데이터-분석
898,머신러닝 이론 및 파이썬 실습,2017년 12월 29일,7741,0,https://www.inflearn.com/course/머신러닝이론-파이썬실습
899,모두를 위한 딥러닝 - Deep Reinforcement Learning,2017년 02월 01일,7644,0,https://www.inflearn.com/course/reinforcement-learning
900,OpenCV 강좌 - 컴퓨터 비전,2017년 05월 24일,5584,0,https://www.inflearn.com/course/opencv-lecture
901,Pandas 팬더스 데이터분석 기초 실습,2018년 04월 03일,4441,0,https://www.inflearn.com/course/pandas-팬더스-데이터분석-기초
902,공공데이터로 파이썬 데이터 분석 시작하기,2019년 02월 12일,3528,"<h4>47,520원</h4>",https://www.inflearn.com/course/공공데이터로-파이썬-데이터-분석-시작하기
903,구글 애널리틱스 (google analytics) 분석하기 - RENEW,2018년 05월 16일,2997,0,https://www.inflearn.com/course/구글-애널리틱스-강좌-분석하기-2
904,우리를 위한 프로그래밍 : 파이썬 중급 (Inflearn Original),2020년 01월 22일,2710,"<h4>55,000원</h4>",https://www.inflearn.com/course/프로그래밍-파이썬-중급-인프런-오리지널
905,캐글 실습으로 배우는 데이터 사이언스,2018년 08월 05일,2599,0,https://www.inflearn.com/course/데이터-사이언스-kaggle
906,파이썬 머신러닝 완벽 가이드,2019년 09월 30일,2542,"<h4>월 19,800원</h4>",https://www.inflearn.com/course/파이썬-머신러닝-완벽가이드
907,[NLP] IMDB 영화리뷰 감정 분석을 통한 파이썬 텍스트 분석과 자연어 처리,2018년 04월 09일,2343,"<h4>17,600원</h4>",https://www.inflearn.com/course/nlp-imdb-파이썬-자연어-처리
908,데이터 시각화와 차트분석 기법,2019년 08월 21일,2282,0,https://www.inflearn.com/course/데이터-시각화-차트분석
909,파이썬입문과 크롤링기초 부트캠프 (2021 업데이트) [쉽게! 견고한 자료까지!],2019년 06월 06일,2199,"<h4>60,500원</h4>",https://www.inflearn.com/course/python-crawling-basic
910,"프로그래밍, 데이터 과학을 위한 파이썬 입문",2017년 10월 25일,2167,"<h4>33,000원</h4>",https://www.inflearn.com/course/python-파이썬-입문-강좌
911,인공지능 R GO! 하자!,2019년 06월 28일,2022,0,https://www.inflearn.com/course/Python-R-go
912,단 두 장의 문서로 데이터 분석과 시각화 뽀개기,2019년 05월 27일,1821,"<h4>36,080원</h4>",https://www.inflearn.com/course/판다스-pandas
913,핸즈온 머신러닝 2,2020년 06월 03일,1805,0,https://www.inflearn.com/course/핸즈온-머신러닝
914,DataScience와 AI의 개념 (공부하는 방법),2020년 01월 02일,1672,"<h4>33,000원</h4>",https://www.inflearn.com/course/data-science-ai-공부-방법-개념
915,R프로그래밍 기초 다지기,2020년 01월 02일,1649,0,https://www.inflearn.com/course/R-프로그래밍-기초
916,모두를 위한 프로세스 마이닝,2018년 05월 22일,1566,0,https://www.inflearn.com/course/process-mining
917,강화학습 기초 이론,2018년 09월 19일,1433,0,https://www.inflearn.com/course/강화학습
918,데이터베이스 SQL 강의,2020년 03월 24일,1344,0,https://www.inflearn.com/course/database-sql-basic
919,웰컴 투 태블로 월드,2019년 11월 13일,1277,0,https://www.inflearn.com/course/태블로강좌-1
920,남박사의 파이썬 실전 100% 활용,2019년 08월 29일,1250,"<h4>66,000원</h4>",https://www.inflearn.com/course/파이썬-활용
921,자바 머신러닝 weka(웨카) 초급,2019년 10월 08일,1094,0,https://www.inflearn.com/course/자바-머신러닝-weka
922,딥러닝 컴퓨터 비전 완벽 가이드,2020년 04월 02일,1068,"<h4>월 19,800원</h4>",https://www.inflearn.com/course/딥러닝-컴퓨터비전-완벽가이드
923,R로 배우는 통계,2020년 04월 09일,952,0,https://www.inflearn.com/course/r로-배우는-통계-1
924,밑바닥 부터 시작하는 머신러닝 입문,2017년 12월 18일,934,"<h4>월 15,400원</h4>",https://www.inflearn.com/course/파이썬-머신러닝-입문-강좌
925,현존 최강 크롤링 기술: Scrapy와 Selenium 정복,2019년 07월 23일,923,"<h4>49,500원</h4>",https://www.inflearn.com/course/crawling-scrapy-selenium
926,아빠가 들려주는 [R shiny app] 만들기,2017년 11월 13일,908,0,https://www.inflearn.com/course/r-shiny-app
927,NoSQL DB (몽고DB/mongodb)  기본부터 파이썬/데이터분석 활용까지!,2019년 08월 19일,906,"<h4>49,500원</h4>",https://www.inflearn.com/course/nosql-파이썬-몽고db-잔재미코딩
928,프로세스 마이닝을 활용한 고객여정분석,2019년 03월 15일,905,0,https://www.inflearn.com/course/프로세스-마이닝
929,[백문이불여일타] 데이터 분석을 위한 기초 SQL,2020년 01월 27일,897,"<h4>13,200원</h4>",https://www.inflearn.com/course/백문이불여일타-데이터-분석-기초-sql
930,그로스해킹 - 데이터와 실험을 통해 성장하는 서비스를 만드는 방법,2020년 01월 02일,896,"<h4>55,000원</h4>",https://www.inflearn.com/course/그로스해킹-데이터-실험-성장-서비스
931,SELECT ALL FROM SQL,2020년 03월 17일,823,0,https://www.inflearn.com/course/sql-select
932,"처음하는 파이썬 데이터 분석 [전처리, pandas, 시각화까지 전과정 기본 기술 쉽게 익히기]",2020년 06월 22일,804,"<h4>66,000원</h4>",https://www.inflearn.com/course/파이썬-데이터분석-전처리-판다스-시각화
933,[백문이불여일타] 데이터 분석을 위한 중급 SQL,2020년 02월 03일,793,"<h4>38,500원</h4>",https://www.inflearn.com/course/데이터-분석-중급-sql
934,아두이노를 이용한 기상정보 수집과 빅데이터 분석,2019년 02월 15일,776,0,https://www.inflearn.com/course/아두이노-기상정보-수집-빅데이터-분석
935,Shiny 그리고 시각화 R Go! 하자!,2019년 08월 09일,775,0,https://www.inflearn.com/course/r-shiny-시각화-이재화
936,[C#과 유니티로 만드는 MMORPG 게임 개발 시리즈] Part5: 데이터베이스,2020년 05월 25일,653,"<h4>44,000원</h4>",https://www.inflearn.com/course/유니티-mmorpg-개발-part5
937,생애 첫 SQL With 제코베,2020년 10월 13일,572,0,https://www.inflearn.com/course/sql-기초-제주코딩베이스캠프
938,OpenCV 를 활용한 명함인식 기능 구현 강좌,2017년 02월 22일,546,"<h4>29,700원</h4>",https://www.inflearn.com/course/opencv-강좌-명함인식
939,[백문이불여일타] 데이터 분석을 위한 고급 SQL,2020년 03월 27일,501,"<h4>55,000원</h4>",https://www.inflearn.com/course/데이터-분석-고급-sql
940,태블로 레벨UP,2019년 11월 21일,496,0,https://www.inflearn.com/course/태블로-중급
941,Tensorflow 사용메뉴얼,2020년 10월 14일,496,0,https://www.inflearn.com/course/텐서플로-딥러닝-구현
942,[OpenCV] 파이썬 딥러닝 영상처리 프로젝트 - 손흥민을 찾아라!,2019년 12월 19일,486,"<h4>55,000원</h4>",https://www.inflearn.com/course/딥러닝-파이썬-영상처리-손흥민
943,캐글 Advanced 머신러닝 실전 박치기,2020년 09월 14일,479,"<h4>66,000원</h4>",https://www.inflearn.com/course/캐글-머신러닝-실전
944,Do It! 딥러닝 입문,2021년 01월 04일,476,0,https://www.inflearn.com/course/딥러닝-입문
945,[데브원영]아파치 카프카 for beginners,2021년 02월 01일,451,0,https://www.inflearn.com/course/아파치-카프카-입문
946,Node.js로 웹 크롤링하기,2019년 03월 23일,425,"<h4>55,000원</h4>",https://www.inflearn.com/course/크롤링
947,"MariaDB 클라이언트 개발, HeidiSQL",2020년 04월 13일,416,0,https://www.inflearn.com/course/mariadb-heidisql-클라이언트-개발
948,캐글 설문조사로 데이터 분석 입문하기,2021년 01월 06일,405,0,https://www.inflearn.com/course/캐글-설문조사
949,파이썬 데이터시각화 분석 실전 프로젝트,2019년 08월 20일,375,"<h4>33,000원</h4>",https://www.inflearn.com/course/파이썬-데이터-시각화-프로젝트
950,파이썬(Python)으로 데이터 기반 주식 퀀트 투자하기 Part1,2020년 11월 12일,346,"<h4>월 19,800원</h4>",https://www.inflearn.com/course/파이썬-판다스-퀀트-투자
951,[R을 R려줘] R 문법 기초,2017년 11월 02일,339,"<h4>5,500원</h4>",https://www.inflearn.com/course/r-기초-데이터-분석
952,진짜 현업에서 쓰이는 직장인의 실무 엑셀 - 데이터 가공부터 분석까지,2020년 04월 27일,335,"<h4>67,760원</h4>",https://www.inflearn.com/course/현업-직장인-실무-엑셀-데이터가공분석
953,MATLAB처럼 쓰는 PYTHON,2020년 03월 25일,333,0,https://www.inflearn.com/course/matlab-python-data-analysis
954,비전공자를 위한 진짜 올인원 개발 클래스,2021년 01월 12일,315,"<h4>월 28,600원</h4>",https://www.inflearn.com/course/올인원-개발클래스
955,업무가 100배 빨라지는 엑셀 데이터 활용과 분석 노하우,2019년 10월 08일,294,"<h4>33,000원</h4>",https://www.inflearn.com/course/엑셀-데이터-활용-분석
956,[텐서플로2] 파이썬 머신러닝 완전정복 - 마라톤 기록예측 프로젝트,2019년 09월 01일,290,"<h4>33,000원</h4>",https://www.inflearn.com/course/파이썬-머신러닝-프로젝트
957,제주 하간디 이신 데이터들 Python으로 몬딱 분석해불게,2020년 07월 13일,281,"<h4>55,000원</h4>",https://www.inflearn.com/course/제주코딩베이스캠프-파이썬-데이터분석
958,혼자 공부하는 머신러닝+딥러닝,2021년 02월 24일,267,0,https://www.inflearn.com/course/혼자공부-머신러닝-딥러닝
959,"[텐서플로2] 파이썬 딥러닝 완전정복 - GAN, BERT, RNN, CNN 최신기법",2019년 11월 29일,262,"<h4>33,000원</h4>",https://www.inflearn.com/course/텐서플로-파이썬딥러닝-gan-bert-rnn-cnn
960,프로들만의 차별화된 엑셀 데이터 분석과 차트 시각화,2018년 04월 11일,256,"<h4>33,000원</h4>",https://www.inflearn.com/course/excel-엑셀-데이터-분석
961,[Python 실전] 웹크롤링과 데이터분석 : 전세계 축구 선수 몸값 분석,2021년 01월 12일,253,0,https://www.inflearn.com/course/웹크롤링-축구선수분석
962,[라즈베리파이] IoT 딥러닝 Computer Vision 실전 프로젝트,2020년 02월 15일,233,"<h4>월 19,800원</h4>",https://www.inflearn.com/course/라즈베리파이-iot-딥러닝-실전
963,이부일의 R릴레오 시즌2 (기초편),2020년 06월 05일,213,0,https://www.inflearn.com/course/이부일-r릴레오-시즌2-기초
964,[개념부터 실습까지] 추천 시스템 입문편,2020년 05월 13일,211,"<h4>39,600원</h4>",https://www.inflearn.com/course/추천-시스템-입문편
965,"Microcosm SW Fair - 경쟁없는, 나만의 시빅해킹",2020년 05월 19일,210,0,https://www.inflearn.com/course/ict-시빅해킹-프로젝트
966,이부일의 R릴레오 시즌1 (실무편),2020년 06월 05일,200,0,https://www.inflearn.com/course/이부일-r릴레오-시즌1-실무
967,[R을 R려줘] R 시각화 기초,2017년 11월 10일,195,"<h4>5,500원</h4>",https://www.inflearn.com/course/r-시각화-기초
968,"케라스, 인공지능의 공용어 완전정복",2019년 09월 17일,171,"<h4>33,000원</h4>",https://www.inflearn.com/course/케라스-인공지능-공용어
969,[R을 R려줘] R 중급,2017년 12월 18일,171,"<h4>5,500원</h4>",https://www.inflearn.com/course/r을-r려줘-r-중급
970,C# OpenCV 컴퓨터비전 입문 강좌,2018년 07월 25일,170,"<h4>33,000원</h4>",https://www.inflearn.com/course/c-opencv
971,[OpenCV] 파이썬 딥러닝 영상처리 프로젝트 2 - 불량사과를 찾아라!,2020년 04월 28일,168,"<h4>월 15,400원</h4>",https://www.inflearn.com/course/딥러닝-파이썬-영상처리-불량사과
972,R로 하는 텍스트마이닝 (Top keyword부터 감성분석까지),2019년 12월 23일,165,"<h4>44,000원</h4>",https://www.inflearn.com/course/r-text-mining
973,[PyTorch] 쉽고 빠르게 배우는 딥러닝,2020년 02월 14일,162,"<h4>월 16,500원</h4>",https://www.inflearn.com/course/PyTorch-딥러닝
974,[백문이불여일타] 데이터 분석을 위한 중급 SQL 문제풀이,2020년 10월 23일,160,"<h4>16,500원</h4>",https://www.inflearn.com/course/sql-중급-문제풀이
975,자바스크립트 머신러닝 TensorFlow.js,2020년 03월 31일,156,"<h4>55,000원</h4>",https://www.inflearn.com/course/자바스크립트-머신러닝-tensorflow
976,[R을 R려줘] R시각화 중급,2018년 10월 08일,156,"<h4>5,500원</h4>",https://www.inflearn.com/course/r시각화
977,파이썬을 활용한 데이터분석과 IT보안,2018년 09월 03일,153,"<h4>월 26,400원</h4>",https://www.inflearn.com/course/python-data-security
978,Python 엑셀 프로그래밍 - with xlsxwriter,2020년 07월 15일,150,"<h4>55,000원</h4>",https://www.inflearn.com/course/파이썬-엑셀-프로그래밍
979,실시간 트렌드 홈페이지 개발(파이썬 크롤링 + Flask),2020년 01월 28일,147,"<h4>13,200원</h4>",https://www.inflearn.com/course/파이썬-크롤링-실시간-트렌드-홈페이지
980,청와대 청원 데이터 시각화,2020년 03월 09일,144,"<h4>11,000원</h4>",https://www.inflearn.com/course/국민청원-데이터시각화
981,TensorFlow 2.0으로 배우는 딥러닝 입문,2020년 10월 12일,139,"<h4>33,000원</h4>",https://www.inflearn.com/course/텐서플로-딥러닝-입문
982,R로 하는 웹 크롤링 - 실전편,2019년 12월 17일,138,"<h4>44,000원</h4>",https://www.inflearn.com/course/R-crawling-2
983,엑셀 매크로와 VBA 기초부터 실무활용까지 완전 정복,2020년 04월 02일,134,"<h4>36,300원</h4>",https://www.inflearn.com/course/엑셀-매크로-vba-기초-실무활용
984,Python을 이용한 주가 백테스팅 시스템 구축하기,2020년 04월 10일,132,"<h4>55,000원</h4>",https://www.inflearn.com/course/python-주가-백테스팅
985,OpenCV + WebApp (얼굴 눈 검출 웹앱만들기),2018년 06월 19일,123,"<h4>16,500원</h4>",https://www.inflearn.com/course/opencv-webapp-cv-lecture
986,오라클 성능 분석과 튜닝 핵심 가이드,2020년 12월 18일,106,"<h4>월 15,400원</h4>",https://www.inflearn.com/course/오라클-성능-분석
987,파이썬 텍스트 분석 입문 - 데이터 수집부터 분석까지,2020년 11월 18일,98,"<h4>35,200원</h4>",https://www.inflearn.com/course/파이썬-텍스트분석-입문
988,[PyTorch] 쉽고 빠르게 배우는 GAN,2020년 03월 13일,98,"<h4>49,500원</h4>",https://www.inflearn.com/course/PyTorch-GAN
989,텍스트마이닝 실전 프로젝트 - 뉴스 데이터 분석하기,2020년 01월 07일,98,"<h4>33,000원</h4>",https://www.inflearn.com/course/텍스트마이닝-데이터-분석-뉴스
990,비전공자를 위한 데이터 분석가 취업 가이드,2020년 10월 16일,97,"<h4>26,400원</h4>",https://www.inflearn.com/course/비전공자-빅데이터-취업
991,산점도 예제로 배우는 R 데이터 시각화,2020년 08월 19일,96,0,https://www.inflearn.com/course/ggplot2-산점도
992,80여개 예제로 알아보는 쉽고 재미있는 [데이터 시각화],2017년 09월 27일,95,"<h4>55,000원</h4>",https://www.inflearn.com/course/데이터-시각화
993,따라하며 배우는 MySQL on Docker,2020년 12월 04일,94,"<h4>33,000원</h4>",https://www.inflearn.com/course/mysql-docker
994,커피 한 잔으로 입문하는 Convolutional Neural Network,2020년 11월 05일,92,"<h4>5,500원</h4>",https://www.inflearn.com/course/데이터사이언스-딥러닝-cnn
995,초간단 초스피드 데이터 수집 (파이썬 크롤링),2020년 01월 09일,91,"<h4>11,000원</h4>",https://www.inflearn.com/course/초간단-초스피드-파이썬-크롤링-데이터-수집
996,[PyTorch] 쉽고 빠르게 배우는 NLP,2020년 03월 31일,87,"<h4>55,000원</h4>",https://www.inflearn.com/course/pytorch-쉽고-빠르게-배우는-nlp
997,태블로 대시보드 기초,2020년 03월 23일,84,"<h4>16,500원</h4>",https://www.inflearn.com/course/tableau-dashboard-basic
998,R로 하는 네트워크 분석,2020년 01월 10일,82,"<h4>33,000원</h4>",https://www.inflearn.com/course/R-네트워크-분석
999,빅데이터 분석 솔루션 TEXTOM 매뉴얼 v4.0 1탄,2020년 10월 21일,79,0,https://www.inflearn.com/course/빅데이터-텍스톰-1
1000,머신러닝 처음 시작하기 (기초 원리 + 초급 실습),2020년 04월 17일,79,"<h4>30,800원</h4>",https://www.inflearn.com/course/머신러닝-처음-시작하기
1001,데이터베이스 MSSQL,2020년 03월 24일,72,"<h4>월 15,400원</h4>",https://www.inflearn.com/course/데이터베이스-mssql-수업
1002,[모바일] 딥러닝 Computer Vision 실전 프로젝트,2020년 03월 25일,72,"<h4>월 19,800원</h4>",https://www.inflearn.com/course/딥러닝-모바일-computervision
1003,디지털 매핑 / 데이터 시각화,2021년 02월 03일,71,0,https://www.inflearn.com/course/디지털매핑-시각화
1004,GPU 프로그래밍 언어 CUDA(쿠다) 기초,2018년 02월 13일,67,"<h4>33,000원</h4>",https://www.inflearn.com/course/gpu-cuda
1005,실전 인공지능으로 이어지는 딥러닝 개념 잡기,2020년 12월 16일,65,"<h4>월 14,300원</h4>",https://www.inflearn.com/course/딥러닝-개념
1006,[R로 하는] 머신러닝을 위한 통계학 기초,2020년 04월 13일,63,"<h4>49,500원</h4>",https://www.inflearn.com/course/머신러닝-통계학-기초-r
1007,파이썬 크롤링(Python Crawling) 으로 웹 데이터 추출 입문부터 실습까지,2018년 08월 01일,62,"<h4>38,500원</h4>",https://www.inflearn.com/course/python-crawling
1008,[백문이불여일타] 데이터 분석을 위한 고급 SQL 문제풀이,2021년 01월 21일,62,"<h4>19,800원</h4>",https://www.inflearn.com/course/sql-고급-문제풀이
1009,텍스트마이닝 실전 프로젝트 - 우리집 주변 맛집 랭킹 매기기,2020년 01월 07일,61,"<h4>33,000원</h4>",https://www.inflearn.com/course/텍스트-마이닝-실전-프로젝트-랭킹
1010,데이터베이스 오라클(Oracle),2020년 03월 24일,60,"<h4>33,000원</h4>",https://www.inflearn.com/course/데이터베이스-오라클-수업
1011,만들면서 배우는 인공지능(강화학습 편),2018년 02월 13일,60,"<h4>55,000원</h4>",https://www.inflearn.com/course/인공지능-강화학습
1012,RPA와 Process Mining 입문과 연계,2020년 08월 19일,57,"<h4>55,000원</h4>",https://www.inflearn.com/course/rpa-프로세스마이닝
1013,R로 쉽게 배우는 강화학습,2020년 01월 31일,56,"<h4>55,000원</h4>",https://www.inflearn.com/course/R-강화학습-기초
1014,🏆Google 공인! 텐서플로(TensorFlow) 개발자 자격증 취득🏆,2021년 01월 07일,54,"<h4>월 29,800원</h4>",https://www.inflearn.com/course/텐서플로우-자격증
1015,[Pytorch] 실전 인공지능으로 이어지는 파이토치 딥러닝,2021년 01월 05일,54,"<h4>월 14,740원</h4>",https://www.inflearn.com/course/파이토치-딥러닝
1016,공대형아의 데이터 시각화를 위한 파이썬,2020년 10월 12일,54,"<h4>44,000원</h4>",https://www.inflearn.com/course/데이터시각화-파이썬
1017,쉽고 빠르게 익히는 Power BI (기본편),2020년 07월 28일,52,"<h4>월 19,800원</h4>",https://www.inflearn.com/course/powerbi-데이터분석-시각화-기본
1018,R로 무작정 해보는 data science,2020년 01월 19일,52,"<h4>월 14,300원</h4>",https://www.inflearn.com/course/R-데이터사이언스-라이브코딩
1019,[R] KOSPI/KOSDAQ 전 종목 데이터 수집 및 관리,2020년 03월 18일,51,"<h4>55,000원</h4>",https://www.inflearn.com/course/r-코스피-코스닥-데이터-수집
1020,R프로그래밍 중급,2020년 01월 17일,50,"<h4>27,500원</h4>",https://www.inflearn.com/course/R-프로그래밍-중급
1021,실전 데이터 사이언스 Part1. 파이썬 입문,2020년 12월 17일,49,"<h4>66,000원</h4>",https://www.inflearn.com/course/핵심-파이썬
1022,돋보이는 신입사원을 위한 엑셀 트레이닝,2020년 05월 12일,47,"<h4>33,000원</h4>",https://www.inflearn.com/course/돋보이는-신입사원-엑셀-트레이닝
1023,빅데이터 분석 솔루션 TEXTOM 매뉴얼 v4.0 2탄,2020년 10월 21일,46,0,https://www.inflearn.com/course/빅데이터-텍스톰-2
1024,커피 한 잔으로 정복하는 LeNet,2020년 11월 09일,43,"<h4>5,500원</h4>",https://www.inflearn.com/course/데이터사이언스-딥러닝-lenet
1025,파이썬 판다스(pandas)로 데이터 분석 및 가공하기,2020년 05월 08일,43,"<h4>22,000원</h4>",https://www.inflearn.com/course/파이썬-판다스-데이터분석-가공
1026,배워서 바로 적용하는 실무SQL,2020년 12월 15일,42,"<h4>45,100원</h4>",https://www.inflearn.com/course/실무-sql
1027,태블로를 활용한 고객 획득 및 유지 패턴 분석,2020년 01월 23일,42,"<h4>16,500원</h4>",https://www.inflearn.com/course/태블로-세미나
1028,딥러닝을 위한 파이썬 레벨1,2021년 01월 13일,35,"<h4>39,600원</h4>",https://www.inflearn.com/course/딥러닝-파이썬-레벨1
1029,YOLO 구현으로 배우는 딥러닝 논문 구현 with TensorFlow 2.0,2021년 01월 20일,31,"<h4>월 19,800원</h4>",https://www.inflearn.com/course/욜로-딥러닝-논문구현
1030,비전공자를 위한 가장 쉬운 데이터분석 입문,2020년 06월 19일,31,"<h4>22,000원</h4>",https://www.inflearn.com/course/비전공자-데이터분석-입문-파이썬
1031,태블로를 활용한 시간 데이터 시각화,2020년 05월 18일,31,"<h4>16,500원</h4>",https://www.inflearn.com/course/태블로-시간데이터-시각화
1032,쉽고 빠르게 익히는 Excel 파워 피벗 & 데이터 모델링,2020년 07월 29일,30,"<h4>55,000원</h4>",https://www.inflearn.com/course/엑셀-파워피벗-데이터모델링
1033,실무중심의 HTML5 시각화 프로그래밍,2018년 06월 05일,27,"<h4>33,000원</h4>",https://www.inflearn.com/course/html5-시각화
1034,[소프데이터] 예제로 배우는 기초 SQL,2020년 09월 03일,26,"<h4>14,300원</h4>",https://www.inflearn.com/course/sql-예제-기초
1035,쉽고 빠르게 익히는 Excel 파워 피벗 & DAX,2020년 08월 03일,26,"<h4>55,000원</h4>",https://www.inflearn.com/course/엑셀-파워피벗-dax
1036,MSSQL Server 2016 기반의 데이터베이스 입문에서 활용까지 Part.1,2020년 06월 12일,26,"<h4>월 14,960원</h4>",https://www.inflearn.com/course/mssql-데이터베이스-파트1
1037,[인공지능 컴퓨터비전] 20장의 사진으로 딥러닝 모델 만들기,2021년 01월 29일,25,"<h4>11,000원</h4>",https://www.inflearn.com/course/비전공자-인공지능-컴퓨터비전
1038,초보자를 위한 R프로그래밍 핵심 교재,2020년 07월 06일,25,"<h4>17,600원</h4>",https://www.inflearn.com/course/초보자-r프로그래밍-핵심
1039,딥러닝을 위한 파이썬 레벨2,2021년 01월 18일,24,"<h4>39,600원</h4>",https://www.inflearn.com/course/딥러닝-파이썬-레벨2
1040,(Python) 누구나 캐글에 입문할 수 있다 (feat. 지방대/비전공/인문학도),2020년 06월 09일,24,"<h4>36,300원</h4>",https://www.inflearn.com/course/캐글-파이썬-입문-포트폴리오
1041,Watch Me Code: 주린이를 위한 파이썬 데이터 분석,2021년 01월 28일,21,"<h4>39,600원</h4>",https://www.inflearn.com/course/와치미코드-파이썬-데이터분석
1042,MSSQL Server 2016 기반의 데이터베이스 입문에서 활용까지 Part.2,2020년 06월 12일,20,"<h4>월 25,300원</h4>",https://www.inflearn.com/course/mssql-데이터베이스-파트2
1043,자바 머신러닝 weka(웨카) 중급,2020년 05월 28일,20,"<h4>33,000원</h4>",https://www.inflearn.com/course/자바-머신러닝-weka-중급
1044,따라하며 익히는 크롤링 마스터 with데이터공방,2021년 01월 21일,18,"<h4>44,000원</h4>",https://www.inflearn.com/course/크롤링-마스터-데이터공방
1045,머신러닝/딥러닝으로 이어지는 선형대수,2021년 02월 23일,16,"<h4>46,750원</h4>",https://www.inflearn.com/course/딥러닝-선형대수
1046,실전 데이터 사이언스 Part2. 데이터 전처리,2021년 01월 13일,15,"<h4>55,000원</h4>",https://www.inflearn.com/course/핵심-데이터전처리
1047,"Data, Ready? Action!: 태블로 데스크탑 + 서버/온라인 연계 활용 Use Case",2020년 10월 21일,15,"<h4>33,000원</h4>",https://www.inflearn.com/course/태블로-자동화-프로세스
1048,QGIS 기초와 Python의 만남,2020년 09월 29일,15,"<h4>19,800원</h4>",https://www.inflearn.com/course/qgis-파이썬
1049,MSSQL Server 2016 기반의 데이터베이스 입문에서 활용까지 Part.3,2020년 06월 12일,15,"<h4>월 33,660원</h4>",https://www.inflearn.com/course/mssql-데이터베이스-파트3
1050,SQL과 구글시트로 시작하는 데이터분석,2020년 11월 23일,14,"<h4>19,800원</h4>",https://www.inflearn.com/course/sql-구글시트-데이터분석
1051,김일한의 파이썬 기반 판다스(Pandas)를 활용한 데이터 분석,2020년 09월 16일,13,"<h4>66,000원</h4>",https://www.inflearn.com/course/소프트캠퍼스-판다스-데이터분석
1052,"(전자책) 응교수보다 쉬운 인공지능 입문서, 이지딥 PDF",2021년 01월 25일,12,"<h4>17,000원</h4>",https://www.inflearn.com/course/인공지능-입문서
1053,스마트요원에게 배우는 구글 스프레드시트,2021년 02월 09일,12,"<h4>44,000원</h4>",https://www.inflearn.com/course/스마트요원-구글시트
1054,Forward Propagation of Neural Networks,2021년 02월 19일,11,"<h4>30,030원</h4>",https://www.inflearn.com/course/딥러닝-네트워크-기초
1055,비전공자를 위한 데이터 사이언스 커리어 로드맵 완성하기,2021년 03월 03일,11,"<h4>35,200원</h4>",https://www.inflearn.com/course/데이터사이언스-로드맵
1056,시각화 솔루션 TIBCO Spotfire - 사용자교육 기초편,2021년 01월 07일,10,"<h4>49,500원</h4>",https://www.inflearn.com/course/spotfire-기초
1057,마케터를 위한 SQL,2020년 05월 12일,10,"<h4>33,000원</h4>",https://www.inflearn.com/course/마케터를-위한-sql
1058,실전 데이터 사이언스 Part 3. 머신러닝의 이해,2021년 01월 19일,9,"<h4>66,000원</h4>",https://www.inflearn.com/course/핵심-머신러닝
1059,꼭 필요한 엑셀 5시간으로 끝내기,2020년 12월 22일,9,"<h4>19,800원</h4>",https://www.inflearn.com/course/엑셀-5시간-끝내기
1060,태블로 집합의 모든 것,2020년 11월 27일,8,"<h4>16,500원</h4>",https://www.inflearn.com/course/태블로-집합
1061,쉽고 빠르게 익히는 Visio 2013,2020년 09월 01일,5,"<h4>55,000원</h4>",https://www.inflearn.com/course/오피스튜터-비지오-2013
